NB_GRAPHS                 10
UNDIRECTED GRAPH      
NB_NODES                 100
NB_EDGES                 479
LIST_OF_EDGES 	 COSTS
   20    21    30
   21    22    15
   22    23    39
   23    24    93
   24    25    14
   25    26    66
   26    27     6
   27    28    32
   28    29    47
   29    30    11
   30    31    20
   31    32    42
   32    33     1
   33    34    31
   34    35    21
   35    36    40
   36    37    66
   37    38    94
   38    39    51
   39    40    87
   40    41     3
   41    42    80
   42    43    26
   43    44    15
   44    45    97
   45    46    82
   46    47    47
   47    48    79
   48    49    75
   49    50    29
   50    51    49
   51    52    17
   52    53    73
   53    54    35
   54    55    83
   55    56    51
   56    57    23
   57    58    63
   58    59    56
   59    60    43
   60    61    18
   61    62    12
   62    63    91
   63    64    84
   64    65    10
   65    66    36
   66    67    71
   67    68    30
   68    69    19
   69    70    19
   70    71    59
   71    72    75
   72    73    59
   73    74    69
   74    75    80
   75    76     5
   76    77    66
   77    78    73
   78    79     1
   79    80    79
   80    81   100
   81    82    70
   82    83    87
   83    84    68
   84    85    42
   85    86    95
   86    87     8
   87    88    62
   88    89    29
   89    90    26
   90    91     2
   91    92    69
   92    93    14
   93    94    45
   94    95    49
   95    96    87
   96    97    59
   97    98    60
   98    99     9
   93     4    75
   15    33    79
   99    44    54
   68    83    82
   77    68    61
    0    42    57
    4    15    62
   41    71    60
   89    47    39
   65    46    36
   93     2   100
   40    94    86
   95    90    58
   90    80    88
   55    74    70
   75    24    61
   79    74     7
    3    19    41
   48     6    78
   58    16    22
   95     4    44
   92    25    91
   94    23    41
   15    50    34
   66     4    20
   31    77     8
   87    31    20
   23    38    18
   40    30    90
    1     0    89
   31    70    11
   89     7    89
    1    69    61
   91     8    81
   76    22    36
   21    16    36
   43    26    20
   83    18    69
   74    73    74
   82    47    20
   99    99    84
   71    83    42
   77    37    18
   48    54     2
   20    46    96
   99    35    56
   63    57    39
    9    84    15
   55    32    33
    5    20    81
   76    62    70
   80     2    88
   40     9    88
   75    30    92
   35    65    50
   59    20    76
   84    77    10
   39    59    40
   16    94    57
   50    31    18
   59    91    29
   85    13    80
   55    42    18
   83    40    62
   27    77    26
   89     7    53
   64    60    29
   82    97     7
   93    81    67
   80    81    48
   51    76    31
   69    48    54
   37    97    76
   42    51    82
    4    70    11
   37    90    19
   86    18    52
   12    38    31
   81    80    42
    3    71    10
   97    64    72
    5     4    99
   66    50    59
   68    99    90
   53    11    46
   31    12    45
   66    47    73
    8    89    34
   23    76   100
   39     2    16
   37     3    47
   51    90    26
   98    70    34
   83    43    32
   29    71    82
   46    43    17
   71    48    72
   25    15   100
   86     0    35
   12    25    88
   33    31    96
   85    54    72
   33    72    81
   60    30    66
   31    78    12
   14    49    71
   19    36    83
    7    98    73
   90    68    76
   53    18     4
   96    97    69
   10    33    67
   30     7    55
   13    10    10
   73    70    88
   32    61    14
   97    23    50
   69    99    12
   45    94    12
   49    54    22
    2    42    81
   94    32    68
   98    83    86
   47    87    70
   52    97    81
   97    77    13
   73    26    74
   56    42    93
   10    41     7
   52    72    13
   11    11    15
   60    98    43
   98    35    89
   15    64    54
   46     5    73
   39    77    58
    9    29    69
   76    46    61
   64    87    13
   19    69    83
   15    49    56
   16     3     3
   38    45    47
   54    19    89
   96    71    75
   87     3    25
    5    12     7
    9    28     8
   71    28    91
   77    69    25
   93    72    90
   92    82    38
   95    30    96
   32    66    83
   37    28    95
   89    81    29
   56    86    99
   54     0    78
   29    82    40
   26    88     2
   68    93    62
   65    71    24
   18    10    68
   74    76    92
   54     6    41
   14    13    20
   15    29    67
   52    56    61
   80    40    52
   81    63    23
   53    72    85
   75    60    50
   17    93    86
   48    53    64
   71    97    10
   55    53    82
   20    44     5
   61    31    94
   41    78    74
   77    52    95
   45    79    15
   93     1    55
   97    31    19
   52    49    39
   19    14    97
   92    49   100
   14    74    39
   45    30    36
   53    75    38
   32    99    16
   44    79     5
   85    29    52
   28    52    74
   10    82    62
   45    65    49
   53    36    63
   47     4    50
   77    25    92
   74    64    24
   76    22    58
   16    68     1
   48    57     2
   66    82    85
   32     1    19
   66    84    77
   37    85    86
   18    72    57
   69    88    82
   58    28    36
   80    59    38
   82    95     4
   89    74    91
   21    81    79
   17    10    41
   81    96    64
    9    51    38
   55    11    14
   94    45    57
   33     0    76
   62    66    81
   11     9    41
   38    17    22
   11    91    86
   30    47    69
   79    20    13
    5    19    60
   51    27     6
   74    93    61
   19     1    86
   27    44    74
   44    51    51
   15    85    35
   43    57    72
    3    91    64
   38    77    63
   34    51    28
   32    87    58
   31    74    14
   51    59    73
   99    26    81
    1     9    49
   97    96    31
   28    54    87
   72    47    20
   66    44    98
    2    13    16
   37    16    28
   48    17    91
   72     2    92
   45    97    86
   14    39    53
   46    87    70
   69    44    67
   93     7    63
   73    78    72
   39    15   100
   25    52    53
   92    47    10
   73    92    56
   93    28    34
   28    19     4
   41    64    72
   11    57     5
   19    61    16
   90    83     8
   32     3    83
    1    58    65
   64    63     3
    4    69    91
   48    39    37
   61    87    49
   42    37    45
   22    76    64
   97    40    13
   55    13    62
   53    67    86
   99    54    69
    7    90    97
   19    58    19
   81    82    33
   22    32    53
   55    49    34
   48    15    80
   59    99    91
   27    95    51
   18    64     5
   35    79    28
   97    27    48
   67    76    97
   87    64    86
   98    73    21
   43    90    37
   49    88    88
   35    98    40
UNDIRECTED GRAPH      
NB_NODES                 100
NB_EDGES                 470
LIST_OF_EDGES 	 COSTS
    0     1    64
    1     2    84
    2     3     1
    3     4     5
    4     5    52
    5     6    21
    6     7    84
    7     8    80
    8     9    41
    9    10    28
   10    11    22
   11    12    69
   12    13    15
   13    14     6
   14    15     6
   15    16    47
   16    17    94
   17    18    43
   18    19    59
   19    20    82
   20    21    63
   21    22    31
   22    23    70
   23    24    18
   24    25   100
   25    26    53
   26    27    98
   27    28    47
   28    29    76
   29    30    84
   30    31    92
   31    32    25
   32    33    95
   33    34    72
   34    35    33
   35    36    43
   36    37    46
   37    38    53
   38    39     5
   39    40    68
   40    41    29
   41    42    41
   42    43    57
   43    44    23
   44    45    50
   45    46     7
   46    47    56
   47    48    43
   48    49   100
   49    50    55
   50    51    24
   51    52    68
   52    53     2
   53    54     9
   54    55    74
   55    56    83
   56    57    64
   57    58    29
   58    59    98
   59    60    25
   60    61   100
   61    62    80
   62    63     1
   63    64    56
   64    65     1
   65    66    22
   66    67    76
   67    68    32
   68    69    86
   69    70    68
   70    71    12
   71    72    70
   72    73    30
   73    74     6
   74    75    30
   75    76    93
   76    77    99
   77    78    97
   78    79    50
   79    80    69
   80    81    54
   81    82    47
   82    83     7
   83    84     6
   84    85    20
   85    86    87
   86    87    39
   87    88    68
   88    89    21
   89    90    41
   90    91    27
   91    92    33
   92    93   100
   93    94     6
   94    95    97
   95    96    99
   96    97    70
   97    98    41
   98    99    34
   63    54    43
   38    49    63
   99    66     9
   27    60    47
   77    23    23
   92    30    99
   58    32    74
    1    18    50
   36    91    79
   20    25     6
   62    27     3
   90    81    46
   88    52    18
   10    29     7
   39    61    19
   75    93    91
   27    78    34
   50    15    94
    6    94    23
   83    52    66
   87    98    69
    0     1    86
   63     4    54
   69    62    33
   29     4    11
   85     8    95
   40     1    10
   48    16    89
   26    16    72
   90    37    77
   30     8    58
   45    91     2
   98    95    54
   11     1    69
   65     3     2
   81    90    26
   19    51    71
   29    28    38
   29    57    67
   41    25    64
   86    92    25
   80    31    77
   94     8    20
   81    18    17
   78    85    74
   92    25     1
   36    94    77
    7    95    65
   56    91    95
   19    67    68
   58     7    44
   72    33    80
   43    64    27
   43    86    36
   51    91    11
   45    43    62
   38    49    76
   79    30    83
   35    99    87
   58    69    74
   27    90    71
   86    96    78
    0    82    67
   73    44    98
   59    14    19
   97    76    24
   22    55    43
   60    89    62
   52    70    92
   29     7    74
   58    56    69
    0    62    13
   42    14    16
   31    14    67
   44    19    51
   49     7    33
   38    28    39
   64    12    28
   31    73    43
   59    70    62
   92    23    85
    2    40     8
   45    59    49
   52    16    10
   30    56    28
   32    20    79
   48    38    97
   40    73    93
   56    10    53
   66    15    26
   45    58    59
    1    13    18
   84    97    66
   30    76     4
   84    63    53
   98    15    30
   44     7    54
   83    11    42
   50    54    70
   59    11    94
   60    29    11
   81    74    86
   52    64    21
    8    24    61
   53    23    45
   76    56    50
   11    45    15
   40    16    56
   26    59    32
   44    63    89
   16    46    41
   81    70    87
   63    30    42
   48    23    16
    6    96    96
   31    72    23
   98    72    69
   31    19    31
   49    13    25
   96     4    80
   59    42    61
   49    32     3
   87    82    46
   86     5    67
   48    16    91
    0    79    78
   76    29    73
   76    78    82
   37    79    20
   66     5    12
   46    60    52
   67    54     5
   63     9    54
   85    29     4
   90    98    63
   96    61    79
   11    56    44
   40    11    31
   53    16    95
   31    85    70
   95    72    78
   16    52    87
   43    46    24
   61    37    76
   89    63   100
   99    56    18
   37    45    41
   42    81    59
   75    90    17
   50    35    23
   87    83     2
   66    56    79
   16    70    86
   19    55    81
   45     4    45
    5    69     7
   26     2    59
   88    93    95
   71    80    23
   89    70    37
   48    88    67
   93     6    27
    4    65    37
   16    78    48
   55    91    27
   51    92    53
   39    35    72
   67    97    63
   17    16    66
   90    81    10
   45    64    90
   22    74     4
   22    52    69
   40    73    73
   56    78    46
   38    86    79
   96    43    84
   92    36     1
    7    12    45
   49    77    62
   60    79    91
   48    25    99
   94    37    53
   29    76    32
   85    41    45
   72    55     5
   99    91    91
   56    68    49
   12     7    99
   41    75    51
   64    54     7
   16    89    66
   67    81    57
   99    91    25
   14    96    87
   19    93    95
   44    71    44
   83    71    53
   21    62    75
   17    55     7
   13    99    84
   73    30    57
   93    14    13
   33    47    20
   66     9    71
    9    32    35
   95    19    36
   51    22    11
    4    62    98
    1    58    36
   12    74    90
   65    95    72
   47    67    88
   75    98    77
   77    29    99
   85    28    39
   71    68    20
   97    58    16
   68     3    65
   22    64    98
   94    60    33
   29     5    63
    3    79    41
   17    65    42
   73    50    82
    4    19    60
   34    70   100
   55     5    57
   51    27    68
   97    21    30
    1    99    57
    9     7    51
   57     7    72
   93    63    21
   82    34    96
   35    64    23
   71    69    44
   76    87    70
   72    13    50
    6    75    95
   86     1    71
   23    98    95
   30    58    14
   71    55    84
   21    86    98
   60    31    13
   23    30    35
   95    16    40
   91    12    69
   73    91    90
   73    63     9
    4    34    39
   77    51    83
    2    41    25
    5    15    13
   82     9    97
   84    20     9
   29    21    28
   72    49    27
   73    75    10
   30    68    34
   36    39    25
   75    86    88
   52    96    48
   42    44    24
   82    37    99
   96    37    98
   70    78    86
   48    77     9
   95    11   100
   19    91    43
   74    82    39
   61    13    78
   30    74    77
   17    52    36
   61     8    39
   17     8     8
   23    52    19
   82    16    40
   38    16    46
   32    58    10
   85     6    70
   45    31    90
   44    99    56
   91    10    14
   32     4    23
   13    91    90
   91    88    42
   87    70    10
   28    80    17
   47     7    70
   85    82   100
   67    93    21
   16    94    20
   29    56     3
   66    93    67
   80    71    92
   61    90    37
   89    39    29
   82    50    32
   71    64    93
   34    37     6
   39    33    43
   26    62    34
    2    38    28
   91    35    54
   89    89    34
   87    65    11
   64    57    88
   53    55    68
   31    20    44
   47    95    85
   12    16    98
   57    29    45
   59    52    41
    5     8    85
   57    81    79
   96    41    41
   56     3    60
   72    88    19
   65    60    38
   19    50    89
   89    62    44
   33    79    14
   59     3    55
   98    22    25
   80    85    97
   93    52     8
   51    62    29
   25    71     2
   42    35    42
   29    68    27
   20    85    54
   90    94    42
   15    33    65
   63    56    13
   81    70    12
   66    52    16
   53    14    80
   74    59     5
   19    39    83
   54    36    67
    8    19    48
   97    35    92
   23    67    10
   54    72    93
   67    46    73
   58    62    80
   25    52    33
   93     4     7
    4     2     9
   36    37    30
   65    81    82
    9    14    62
   46    12    95
   20    55    64
   82    88    66
   65    92    22
   96     1    92
   85    86    74
   33    81    40
   69    57    71
   21    66    27
   63    63    62
   88    33    73
   89    82    42
   81    33    42
   88    84    92
   43    66    18
   58    62    20
   20    59    41
UNDIRECTED GRAPH      
NB_NODES                 100
NB_EDGES                 578
LIST_OF_EDGES 	 COSTS
    0     1    82
    1     2    19
    2     3    97
    3     4    94
    4     5    74
    5     6    72
    6     7    80
    7     8    36
    8     9    17
    9    10    48
   10    11    82
   11    12    32
   12    13    67
   13    14    69
   14    15    21
   15    16    54
   16    17    73
   17    18    66
   18    19    43
   19    20    65
   20    21    79
   21    22    95
   22    23    77
   23    24    19
   24    25    13
   25    26    25
   26    27    84
   27    28     3
   28    29    47
   29    30    52
   30    31    42
   31    32    76
   32    33    75
   33    34    58
   34    35    47
   35    36    24
   36    37     4
   37    38    92
   38    39    27
   39    40    74
   40    41    31
   41    42    16
   42    43    44
   43    44    14
   44    45    83
   45    46    59
   46    47     9
   47    48    70
   48    49    88
   49    50    64
   50    51    78
   51    52    99
   52    53     8
   53    54     2
   54    55    43
   55    56    82
   56    57    35
   57    58     1
   58    59    54
   59    60    66
   60    61    24
   61    62    11
   62    63    33
   63    64     9
   64    65    46
   65    66    74
   66    67    78
   67    68    49
   68    69    14
   69    70     2
   70    71    81
   71    72    46
   72    73    87
   73    74    95
   74    75    98
   75    76    40
   76    77     5
   77    78    60
   78    79    68
   79    80    70
   80    81     8
   81    82    35
   82    83    30
   83    84    49
   84    85     6
   85    86     6
   86    87    43
   87    88     1
   88    89    25
   89    90    82
   90    91    49
   91    92    66
   92    93     2
   93    94    15
   94    95    94
   95    96    42
   96    97    40
   97    98    97
   98    99    75
   73    89    99
   34    53    96
   82    66     3
   70    65    14
   13    27    69
   38    29    95
   45    65    26
   64    58    34
   46    20    51
    4    79    28
   76    95    49
   27    81    13
   79    25    20
   14    66    86
   78    68    68
   20    15    37
   53    28    73
   11    69    91
   66    16    35
   33    61    66
   73     5     4
   11    51    33
   38    77    11
   78    59    14
   65    92     7
   57    28    66
   56    68    99
    4    29    81
   52    94    55
   40    64    43
   51    19    94
   26    52    77
   38    58    39
   70    87    38
   96    74    15
    3    13    45
   98    19    28
   78    92     3
    9    73    90
   15    92    95
   38    78     3
   31    84    83
   44    34    70
   34    55    40
   96    73    91
   55    48    36
   85    73    33
   44    99    92
   85    24     1
   60    98    59
   35     9    65
    2    38    34
   18    11    59
   44    66    25
    1    85    51
   48    35    71
   12     6    89
   62    96    53
   43    20    58
   47    74    11
   51    29    71
    0    50     6
    4    89    75
   75    55    74
   87     4    25
   64    14    39
   34    88    28
    2    35    33
   30    12     3
   31    49    93
   43    64    62
   90    59    73
   63    85     2
   11    89    52
   70     1    15
   29    91    66
   17    96    91
    6    32    76
   85    85    25
   95    48    29
   24    74    79
   29    50    30
   38    32     2
   65    67    31
   47    44    18
    0    71    59
   78    34    34
   92    37    70
   86    40    81
   54    64    61
   70    43    43
   13    23    23
    0     7    46
   49    64    82
   62    68    89
   49    74    15
   24     3    71
   73    61    91
   74    52    71
   39     6    66
   29    41    53
   47    58    34
   99    57    38
   36    43    50
   47    37    51
   27    91    77
   90    94    34
   63    77    46
   12    60    96
   55    48    95
   87    56    62
   73    76    28
   31    36    38
   98     1    74
   40    36    45
   42    15    73
   39    23    69
   52    26     2
   87    88    84
    4    57    66
   71    57    95
   56    36    30
   12    50    90
   12     2    64
   61    52    56
   86    92    31
   50    46    62
   53    52    17
   30    84    11
   86    38    89
   77    78     5
   42    99    36
   91    34    62
   74    78    20
   67    59    18
   27    39    74
   26    15    70
   66     6     6
   56    88    10
   84    92    31
    9    44    80
   87    62    50
   32    63    50
   23    55    76
   47     2    87
   51    93     4
   55    52    75
   25     8    72
   10    29     8
   51    50    42
   62    46     2
   28    33    53
   23    19    82
   23    60    73
   69    97    25
   66    31    16
   73    43    85
   90    56    18
   60    36    92
   80    49    55
   86    78    90
   53    98    60
   99    85    85
   81    29    26
   37    44    98
   56    77    46
   35    23    55
   24    29    11
    2    46    47
   55     1    85
   39    85    92
   78    43    84
   57    40    87
   90    86    15
   81    51    51
   47    13    77
   47    13    62
   94    58    70
   40    28    89
    2    94    56
   43    10    29
   17    39    78
   75    89    11
   84    67     1
   56    53    92
   41    27    82
   49    49     7
    1    14    36
    3     0    76
   44    18    24
    7    81    92
   72    56     8
   62    52    85
   33    77    85
   54    84    29
   99    63     9
    9    95     7
   85    22    24
   94    17    63
   62     8    52
   10    79    62
   82    31    25
   84    56    53
   94    58    72
   38    27    67
   96    61     6
   75    20    17
   58     1    34
   79    68    49
   74    57    23
   26    79    38
   18    60    21
   70    62     3
   31    31    84
   14    80    27
   34    55    67
   71    15     5
   93    96    46
   84    28     3
   60    24    57
    7    76    97
    5    86    27
   98    54     4
   63    23    15
   13    80    35
   66     3    15
   29    86    69
   42    15    68
   61    10    86
   59    43    67
   26    37    90
   57    79    45
   58    28    27
   59    39    53
   30    56    35
    8    13    61
   94    37    30
   57    81    72
   66    73    61
   91     8    14
   28    24    73
   10    66    34
   61    87    29
   98     7    73
   75    65    43
    6    15     2
   18    45    42
   76    46    58
   24    38    38
   92    39    24
   97    62    84
   35    86    23
   33    12    82
   85    79    62
   19    96    87
   17    53    55
   28    31    67
   14     4    10
   96     6    80
   60     2    55
   42    55    38
   14    55    24
   56    87    10
   23    33    64
   79    19    42
   48    44    79
   19    26    22
   36    37    85
   88    35    40
   27    61    70
   60    14    82
   84    34    57
   41    10    40
   68    19    60
   55    17    32
   28     4    31
   72    11    53
   67    82    20
   41    62    75
   15    96    10
   78    12    74
   80     8    64
   36    38    59
   57    46    45
   15    38    36
   81     4    68
   37    19    44
   14    39    38
   94    90    32
   47    43    23
   93     8    75
   21     3    25
   84    86    41
   45    43    29
   73    49    29
   73    59    22
   79    11     8
   71    11     6
   61    58    75
   55    87    84
   80    75    60
   90    84    30
   50    98    21
    0    74    99
   91     2    43
   37    27    36
   17    66    89
   68    73    45
   15    68    56
   75    25    18
   33    32    58
   32    24    81
   48    87     7
    0    82    48
   66    24    17
   92    27    41
   52    14    95
   11    22    70
   17    26    81
   22    82     8
   17    51    29
   16    19    99
   34    46     5
   30    96    32
   46    28    82
   91    78    57
   54    30    59
   30    92    67
   94    44     7
   88    88    82
   96    38     4
   53    49    96
   70    92    84
   15    14     6
   72    51    82
   88    52    86
   92    96    15
   58    58    98
   52    95    72
    1    96    11
   26    27    75
   88    47    76
   91    32    21
   40    16    99
   96    23    18
   98    70    98
   53    28    72
   48     7    47
   91    93    66
   26    54    26
   35    61    12
   53    18    91
    1    47    81
   55    65    53
   19     9    43
   50    38    30
   44    69    73
   56    31     3
   33    10    89
   51    38    86
   78    86    24
   33    10    99
   54    89    93
   38    51    23
   69    24    34
   61    32    38
   25    44    99
   46    71    83
    7    40    88
    7    13    18
   63    50    57
   85    21    58
   43    75    81
   95    92    68
   58     4     2
   89    45    48
   61    21    13
   41    96    20
   46    94   100
    1    20    67
   77    47    97
   58     5    97
   23    34    92
   76     8    18
   60     4    10
    9    80    15
   72     7    32
   42    53    13
   12    45    62
   67    98    64
   64    40    63
   21    79    78
   84    15    87
   48    62     9
    4    19    92
   22    44    81
   14    28    38
   53    36    30
    0    68    92
   66    24    99
   42    82    44
   96     7    18
   55    10    52
   56    64     4
   66    36     8
    5    97    55
   12    34    12
    7    49    38
   73    63    87
   77    66    95
   67    43    75
   98    51    55
   22    47    19
   81    12    76
   85     0    73
   28    73    34
   91    52    91
   17    26    10
   51    59    14
   66    73    11
   30    58     9
   85    84    88
   58    24    35
   69    41    66
   58    49    99
   83    99    36
   84    97    87
   39    33    57
    9    26    59
   11    95    74
    8    76    20
   96    40    49
   25    55    94
    1    83    11
   39    45    30
   79    50    21
   61    79    96
   84    99    12
   38     4    29
   26    86    74
   28    90    88
    6    50    71
   56    64    50
   22    36    32
   16    63    34
   15    22    67
   95    70    88
   22    17    11
    5    48    93
   80    52     4
   37    80    42
    4    13    92
   33    38    42
   91    40    28
   86    60    27
   61    67    20
    3    49    77
   62    60    88
   98    88    19
   10    72    75
    3     6    71
   26    60    36
   51    95     4
   70     3    41
   65    12    98
   77    11    87
   91    68    20
    0    13    97
   84    38    21
   89    65     3
   15    34    54
   40    58    47
   91    89    89
   92    56    34
   97    19    81
   61    40    18
   29    58   100
   55    66    25
   50    89    53
UNDIRECTED GRAPH      
NB_NODES                 100
NB_EDGES                 213
LIST_OF_EDGES 	 COSTS
    0     1     8
    1     2    23
    2     3    63
    3     4    12
    4     5    31
    5     6    36
    6     7    21
    7     8   100
    8     9    82
    9    10    31
   10    11    34
   11    12    98
   12    13    31
   13    14    96
   14    15    18
   15    16    17
   16    17    55
   17    18    92
   18    19    72
   19    20    74
   20    21    40
   21    22    14
   22    23    64
   23    24    86
   24    25    78
   25    26    98
   26    27    34
   27    28    12
   28    29    14
